COGS,COGS Local,Item Name,Bundle,Category,Sub-category,Contribution,Contribution %,Brand,Region,Reporting Week,Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales,AWD Transportation Fee per unit,AWD Transportation Fee quantity,AWD Transportation Fee total,AWD outbound processing fee per unit,AWD outbound processing fee quantity,AWD outbound processing fee total,Base fulfillment fee per unit,Base fulfillment fee quantity,Base fulfillment fee total,Base monthly storage fee per unit,Base monthly storage fee quantity,Base monthly storage fee total,FBA Inventory Reimbursement per unit,FBA Inventory Reimbursement quantity,FBA Inventory Reimbursement total,FBA fulfillment fees per unit,FBA fulfillment fees quantity,FBA fulfillment fees total,Low-inventory-level fee per unit,Low-inventory-level fee quantity,Low-inventory-level fee total,Monthly inventory storage fee per unit,Monthly inventory storage fee quantity,Monthly inventory storage fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Refund administration fee per unit,Refund administration fee quantity,Refund administration fee total,Storage utilization surcharge per unit,Storage utilization surcharge quantity,Storage utilization surcharge total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Net proceeds total,Net proceeds per net unit sold,AWD Storage Fee per unit,AWD Storage Fee quantity,AWD Storage Fee total,FBA removal order fee per unit,FBA removal order fee quantity,FBA removal order fee total,Inbound Transportation Fee per unit,Inbound Transportation Fee quantity,Inbound Transportation Fee total,FBA inbound placement service fee per unit,FBA inbound placement service fee quantity,FBA inbound placement service fee total,Aged inventory surcharge per unit,Aged inventory surcharge quantity,Aged inventory surcharge total
0.95,1.298887386,"KITTY KA-ZOOM Crunchy Natural Chicken with Catnip Treats for Cats, 2.75 OZ | Low Calorie Carefully Crafted Treats for Indoor and Outdoor Felines | Hand Harvested Catnip",0,Cat Treats,Crunchy,-77.45463693,-1.091522247,Kitty Ka-Zoom,CA,2026-W01,CA,1/1/2026,1/31/2026,B0GL4LFXKW,B0D4312MXF,,,CAD,8.354,5,0,5,41.77,41.77,,,,,,,5.32,5,26.6,0.021864,22.42,0.4902,,,,5.32,5,26.6,,,,0.021864,22.42,0.4902,,,,0.42,5,2.1,,,,0,22.42,0,1.576226,53,83.54,-70.9602,-14.19204,,,,,,,,,,,,,,,
0.95,1.298887386,"KITTY KA-ZOOM Crunchy Natural Seafood with Catnip Treats for Cats, 2.75 OZ | Low Calorie Carefully Crafted Treats for Indoor and Outdoor Felines | Hand Harvested Catnip",0,Cat Treats,Crunchy,-25.67774954,-1.253661694,Kitty Ka-Zoom,CA,2026-W01,CA,1/1/2026,1/31/2026,B0GL4LFXKW,B0D4379H26,,,CAD,6.8975,4,0,4,27.59,27.59,,,,,,,5.69,4,22.76,0.022593,0.54,0.0122,,,,5.69,4,22.76,,,,0.022593,0.54,0.0122,,,,0.35,4,1.4,,,,0,0.54,0,1.405882,17,23.9,-20.4822,-5.12055,,,,,,,,,,,,,,,
2.78,3.800954666,KITTY KA-ZOOM Shark Toy and Seafood Treat Bundle for Cats | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play | Low Calorie Carefully Crafted Treats,1,Cat Toys,Plushes,-346.1820107,-1.166500917,Kitty Ka-Zoom,CA,2026-W01,CA,1/1/2026,1/31/2026,B0GL4FCBY5,B0DHWG175S,,,CAD,15.772308,13,0,13,205.04,205.04,,,,,,,8.063846,13,104.83,0.125469,9.8,1.2296,,,,8.063846,13,104.83,,,,0.125469,9.8,1.2296,,,,0.765385,13,9.95,,,,0,9.8,0,1.518898,254,385.8,-296.7696,-22.828431,,,,,,,,,,,,,,,
2.18,2.980604738,KITTY KA-ZOOM Snake Toy and Chicken Treat Bundle for Cats | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play | Low Calorie Carefully Crafted Treats,1,Cat Toys,Plushes,-2.6598,-1,Kitty Ka-Zoom,CA,2026-W01,CA,1/1/2026,1/31/2026,B0GL4FCBY5,B0DHWGQYSC,,,CAD,0,0,0,0,0,0,,,,,,,,,,0.106392,25,2.6598,,,,,,,,,,0.106392,25,2.6598,,,,,,,,,,0,25,0,,,,-2.6598,,,,,,,,,,,,,,,,
1.84,2.515739779,KITTY KA-ZOOM Jellyfish Toy and Seafood Treat Bundle for Cats | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play | Low Calorie Carefully Crafted Treats,1,Cat Toys,Plushes,-592.9919309,-1.210566596,Kitty Ka-Zoom,CA,2026-W01,CA,1/1/2026,1/31/2026,B0GL4FCBY5,B0DHWJSYZN,,,CAD,15.277317,41,0,41,626.37,626.37,,,,,,,7.618571,42,319.98,0.10544,37.24,3.9266,,,,7.618571,42,319.98,,,,0.10544,37.24,3.9266,,,,0.76,41,31.16,,,,0,6.82,0,1.605802,474,761.15,-489.8466,-11.947478,,,,,,,,,,,,,,,
1.53,1.53,KITTY KA-ZOOM ZOOMIE Jelly Fish - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play,0,Cat Toys,Plushes,11.5591,0.2645762902,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0DTMFWSGT,B0CYJWPGC7,,,USD,7.155714,21,0,21,150.27,150.27,,,,,,,3.38,24,81.12,0.041453,38.62,1.6009,,,,3.38,24,81.12,,,,0.041453,38.62,1.6009,,,,1.037391,23,23.86,,,,0,0.41,0,,,,43.6891,2.080433,,,,,,,,,,,,,,,
2.02,2.02,KITTY KA-ZOOM ZOOMIE Snake Kicker - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh | Soft Plush for Engaging Play,0,Cat Toys,Plushes,-145.2862,-3.280620148,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0DTMFWSGT,B0CYJX7L6M,,,USD,7.301509,53,3,50,386.98,366.01,,,,,,,3.8525,52,200.33,0.054083,342.04,18.4985,-2.16,1,-2.16,3.865962,52,201.03,0.7,1,0.7,0.054083,342.04,18.4985,-1.05,4,-4.2,1.061321,53,56.25,0.21,4,0.84,0,7.84,0,,,,-44.2862,-0.885724,,,,,,,0.58349,240,140.0377,,,,,,
1.54,1.54,KITTY KA-ZOOM ZOOMIE Shark Kicker - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh | Soft Plush for Engaging Play,0,Cat Toys,Plushes,-346.3846,-1.717967946,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0DTMFWSGT,B0CYJY8DJN,,,USD,6.279474,95,1,94,596.55,590.56,,,,,,,3.13,97,303.61,0.028904,78.58,2.2713,,,,3.13,97,303.61,,,,0.028904,78.58,2.2713,-0.9,1,-0.9,0.916981,106,97.2,0.18,1,0.18,0,1.69,0,0.652509,558,364.1,-201.6246,-2.144943,,,,,,,0.535902,48,25.7233,,,,,,
1.58,1.58,KITTY KA-ZOOM ZOOMIE Crab - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh | Soft Plush for Engaging Play,0,Cat Toys,Plushes,-457.5513,-2.151650613,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0DTMFWSGT,B0CYK66K6L,,,USD,6.191847,157,2,155,972.12,960.14,,,,,,,3.165374,147,465.31,0.028493,206.85,5.8937,,,,3.165374,147,465.31,,,,0.028493,206.85,5.8937,-0.9,2,-1.8,0.915287,157,143.7,0.18,2,0.36,0,6.92,0,0.696195,728,506.83,-212.6513,-1.371944,,,,,,,0.312486,168,52.4976,,,,,,
1.32,1.32,KITTY KA-ZOOM Catnip Spray - 1oz. Bottle | High Potency Catnip Spray Made from Steam-Distilled Natural Plants | Hand Harvest Grown in Canada and The USA,0,Oils,Sprays,-9.1846,-0.08802956619,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0CZ1X9H8C,B0CZ1PLPQ9,,,USD,5.027126,87,1,86,437.36,432.37,,,,,,,3.023103,87,263.01,0.00217,227.96,0.4946,,,,3.023103,87,263.01,,,,0.00217,227.96,0.4946,-0.75,1,-0.75,0.748621,87,65.13,0.15,1,0.15,0,26.33,0,,,,104.3354,1.213202,,,,,,,,,,0,169,0,,,
1.79,1.79,KITTY KA-ZOOM Catnip Spray - 4oz. Bottle | High Potency Catnip Spray Made from Steam-Distilled Natural Plants | Hand Harvest Grown in Canada and The USA,0,Oils,Sprays,45.9309,0.1304777642,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0CZ1X9H8C,B0CZ1R2GGG,,,USD,7.024375,176,5,171,1236.29,1203.19,,,,,,,3.236705,173,559.95,0.008141,313.01,2.5481,-1.69,1,-1.69,3.236705,173,559.95,,,,0.008141,313.01,2.5481,-1.05,5,-5.25,1.049716,176,184.75,0.21,5,1.05,0,10.44,0,,,,352.0209,2.058602,,,,,,,0.269145,408,109.811,0,49,0,,,
1.12,1.12,KITTY KA-ZOOM Catnip Craze - Catnip Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Blends,PIll Bottles,-18.5036,-1,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0CZ2C8YFX,B0CZ2DX1NW,,,USD,0,0,0,0,0,0,,,,,,,,,,0.041715,59,2.4612,,,,,,,,,,0.041715,59,2.4612,,,,,,,,,,0,59,0,,,,-18.5036,,,,,,,,,,,,,,0.286471,56,16.0424
1.73,1.73,KITTY KA-ZOOM Super ZOOMIES Mix - 7 Ingredient Catnip Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Cat Jars,Jars,67.6372,0.6296096333,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0CZ2C8YFX,B0CZ2DYMFN,,,USD,12.010833,24,1,23,288.26,276.27,,,,,,,4.356818,22,95.85,0.03187,104.26,3.3228,,,,4.356818,22,95.85,,,,0.03187,104.26,3.3228,-1.8,1,-1.8,1.79625,24,43.11,0.36,1,0.36,0,57.9,0,,,,107.4272,4.670748,,,,,,,,,,0.28,100,28,,,
1.16,1.16,KITTY KA-ZOOM Silverine Surge - Catnip & Silvervine Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Blends,PIll Bottles,-12.7269,-11.29372615,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0CZ2C8YFX,B0CZ2F4G84,,,USD,6.093,10,0,10,60.93,60.93,,,,,,,3.885455,11,42.74,0.048726,212.76,10.3669,,,,3.885455,11,42.74,,,,0.048726,212.76,10.3669,,,,0.895,10,8.95,,,,0,212.76,0,,,,-1.1269,-0.11269,,,,,,,,,,,,,,,
1.14,1.14,KITTY KA-ZOOM Zoom Sticks - Silvervine Sticks Covered in Silvervine Fruit | Dental Support Chew for Cats | High Potency Natural Chew Stick for Indoor Cats,0,Clamshells,Silvervine Sticks,81.9158,0.6788088415,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0CZ2TDMWV,B0CZ2TDMWV,,,USD,7.072286,35,1,34,247.53,241.29,0.019167,24,0.46,0.1125,24,2.7,2.449697,33,80.84,0.00201,94.28,0.1895,,,,2.449697,33,80.84,,,,0.00201,94.28,0.1895,-1.05,1,-1.05,1.048571,35,36.7,0.21,1,0.21,,0,0,,,,120.6758,3.549288,0.000226,708,0.16,,,,0.016862,24,0.4047,,,,,,
1.14,1.14,KITTY KA-ZOOM Valerian Root Roar - Catnip & Valerian Root Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Blends,PIll Bottles,-7.5075,-1.43615495,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0CZ2C8YFX,B0CZ2VWSD3,,,USD,6.14,2,0,2,12.28,12.28,,,,,,,3.52,2,7.04,0.035446,53.6,1.8999,,,,3.52,2,7.04,,,,0.035446,53.6,1.8999,,,,0.9,2,1.8,,,,0,53.6,0,,,,-5.2275,-2.61375,,,,,,,,,,,,,0.2417,28,6.7676
1.54,1.54,KITTY KA-ZOOM Catnip Bubbles - 5oz. Bottle with Built-in Wand | High Potency Catnip Bubbles Made from Steam-Distilled Natural Plants | Hand Harvest Grown in Canada and The USA,0,Oils,Bubbles,-2406.1867,-2.729381807,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0CZ7KB218,B0CZ7KB218,,,USD,6.092541,1035,45,990,6305.78,6025.76,,,,,,,3.186309,1016,3237.29,0.012922,381.98,4.936,-1.153333,6,-6.92,4.022766,1016,4087.13,0.845612,1005,849.84,0.012922,381.98,4.936,-0.9,45,-40.5,0.899904,1037,933.2,0.18,45,8.1,0,15.02,0,0.624776,1941,1212.69,-881.5867,-0.890492,,,,,,,0.189466,3312,627.5107,0.224931,361,81.2,,,
0.95,0.95,"KITTY KA-ZOOM Crunchy Natural Chicken with Catnip Treats for Cats, 2.75 OZ | Low Calorie Carefully Crafted Treats for Indoor and Outdoor Felines | Hand Harvested Catnip",0,Cat Treats,Crunchy,-17.6799,-1.273777189,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0D46S8LHL,B0D4312MXF,,,USD,4.89,4,0,4,19.56,19.56,,,,,,,3.03,4,12.12,0.015077,29.84,0.4499,,,,3.03,4,12.12,,,,0.015077,29.84,0.4499,,,,0.73,4,2.92,,,,0,29.84,0,0.527941,34,17.95,-13.8799,-3.469975,,,,,,,,,,,,,,,
0.95,0.95,"KITTY KA-ZOOM Crunchy Natural Seafood with Catnip Treats for Cats, 2.75 OZ | Low Calorie Carefully Crafted Treats for Indoor and Outdoor Felines | Hand Harvested Catnip",0,Cat Treats,Crunchy,-64.1259,-1.310673897,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0D46S8LHL,B0D4379H26,,,USD,4.925625,16,0,16,78.81,78.81,,,,,,,3.267647,17,55.55,0.015237,21.06,0.3209,,,,3.267647,17,55.55,,,,0.015237,21.06,0.3209,,,,0.73,16,11.68,,,,0,21.06,0,0.562526,95,53.44,-48.9259,-3.057869,,,,,,,0.140521,48,6.745,,,,,,
2.78,2.78,KITTY KA-ZOOM Shark Toy and Seafood Treat Bundle for Cats | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play | Low Calorie Carefully Crafted Treats,1,Cat Toys,Plushes,-28.5621,-1.412420075,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0DTLQHHBQ,B0DHWG175S,,,USD,10.7775,4,1,3,43.11,32.33,,,,,,,5.42,4,21.68,0.086391,101.37,8.7575,,,,5.42,4,21.68,,,,0.086391,101.37,8.7575,-1.62,1,-1.62,1.62,4,6.48,0.32,1,0.32,0,101.31,0,0.597368,19,11.35,-20.2221,-6.7407,,,,,,,,,,,,,0.055293,101,5.5846
2.18,2.18,KITTY KA-ZOOM Snake Toy and Chicken Treat Bundle for Cats | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play | Low Calorie Carefully Crafted Treats,1,Cat Toys,Plushes,-19.3077,-1.127279203,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0DTLQHHBQ,B0DHWGQYSC,,,USD,10.78,1,0,1,10.78,10.78,,,,,,,4.95,1,4.95,0.073193,115.55,8.4575,,,,4.95,1,4.95,,,,0.073193,115.55,8.4575,,,,1.62,1,1.62,,,,0,113.58,0,0.576923,13,7.5,-17.1277,-17.1277,,,,,,,,,,,,,0.047195,114,5.3802
1.84,1.84,KITTY KA-ZOOM Jellyfish Toy and Seafood Treat Bundle for Cats | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play | Low Calorie Carefully Crafted Treats,1,Cat Toys,Plushes,-10.4561,-1.213553696,Kitty Ka-Zoom,US,2026-W01,US,1/1/2026,1/31/2026,B0DTLQHHBQ,B0DHWJSYZN,,,USD,10.78,1,0,1,10.78,10.78,,,,,,,5.04,1,5.04,0.068894,112.65,7.7609,,,,5.04,1,5.04,,,,0.068894,112.65,7.7609,,,,1.62,1,1.62,,,,0,112.65,0,,,,-8.6161,-8.6161,,,,,,,,,,,,,0.044028,113,4.9752
3.54,4.840064575,Meowijuana | Dried Catnip Buds Jar | Premium Organic Catnip | Grown in North America | Perfect for Cat Toys | Fresh Catnip for Extended Playtime | Elevate Your Cat's Enjoyment,0,Cat Jars,Buds,40.49928967,0.4320385073,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B01E7B5ACA,B00U6DJCR8,,,CAD,25.605455,11,0,11,281.66,281.66,,,,,,,6.74,10,67.4,,,,,,,6.74,10,67.4,,,,,,,,,,3.75,10,37.5,,,,,,,0.653701,127,83.02,93.74,8.521818,,,,,,,,,,,,,,,
1.76,2.406359789,Meowijuana Good Vibes Kalico Kush | Valerian Root and Catnip Blend | Large Bottle High Potency Blend | Premium Hand Harvested North American Catnip,0,Blends,Pill Bottles,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B01E7B5C78,B00U869UMK,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
1.75,2.39268729,Meowijuana Meowi-Waui | Bud Shake and Catnip Blend | Large Bottle High Potency Blend | Premium Hand Harvested North American Catnip,0,Blends,Pill Bottles,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B01E7B5DZ4,B00U86E6Z6,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
1.5,2.05087482,"Meowijuana | 1oz. Premium Catnip Spray | Organic | High Potency | Use On Cat Toys, Teasers, and Scratchers | Grown In North America | Feline and Cat Lover Approved",0,Oils,Sprays,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B0108I6PZC,B0108I6PZC,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
1.25,1.70906235,Meowijuana | King Size Catnip Joints | Organic | Dried Premium Ground Catnip | High Potency | Grown in North America | Feline and Cat Lover Approved,0,Clamshells,Rollies,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B01MEEJAML,B01MEEJAML,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B07K1JRDM4,B07K1JRDM4,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B07K1KFL7B,B07K1KFL7B,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B07K1NLFZ6,B07K1NLFZ6,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
1.8,2.461049784,Meowijuana Premium Catnip Spray - 3 oz. | High Potency Formula | Natural Formula for Pet Owners & Multi-Cat Households | Enhance Playtime & Relaxation | Perfect for New Cat Owners,0,Oils,Sprays,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B07KPRTSMT,B07KPRTSMT,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B07QFSF3DG,B07QFSF3DG,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B07WDCY1VZ,B07WDCY1VZ,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B07WDCYXHN,B07WDCYXHN,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B07WFHN9N1,B07WFHN9N1,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
2.27,3.103657228,"Meowijuana Catnibas Catnip Pawty Mix Jar | Premium Cat Nip for Cats with Silvervine, Passion Flower, Chamomile, Dandelion & Valerian Root | High Potency Catnip | 60g",0,Cat Jars,Mix,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B0F72JRCFK,B07WGHX6M3,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
1.18,1.613354858,Meowijuana Silvervine Sticks | 4 Chew Sticks for Cats | Promote Healthy Chewing Habits and Dental Health | Freshly Harvested from Silverine Plants,0,Clamshells,Silvervine Sticks,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B081ZDBFXP,B081ZDBFXP,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B0B6R382FN,B0844PJQN4,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B0B6R382FN,B0844QYJ4B,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
3.51,4.799047079,"Meowijuana Purr-Effect Trio Pack | Purrple Passion, Whisker Tickler and Paw Natural OG Catnip Blends | Large Bottle High Potency Blends | Premium Hand Harvested North American Catnip",1,Blends,Pill Bottles,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B0844RR5FH,B0844RR5FH,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,Meowijuana | Crunchie Munchie Treat Bundles | Organic Catnip Center | Grown in The USA | Promotes Cat Health | High Potency Cat Treats (Crunchie Munchie Bundle),1,Cat Treats,Crunchie Munchies,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B0844WB78N,B0844WB78N,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B0844YDS7Q,B0844YDS7Q,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B08455M66Q,B08455M66Q,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B0892NW7V7,B0892NW7V7,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B08MQT36F8,B08MQT36F8,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
2.09,2.857552249,Meowijuana Birthjays Bundle | Birthjays Catnip Joints and Get Lit Cake Refillable Toy | Hand Harvested and Rolled Dried High Potency Catnip | Grown in North America,1,Clamshells,Rollies,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B0BV884FDV,B08W24837G,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B08ZGGV8FM,B08ZGGV8FM,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
2.42,3.30874471,Meowijuana Meowi-Waui Bundle | King Size Catnip Rollies and Meowi-Waui | Hand Harvested and Rolled Dried High Potency Catnip | Grown in North America,1,Clamshells,Rollies,-173.141213,-1.154428677,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B0BV884FDV,B08ZGL2CNL,,,CAD,27.99,7,0,7,195.93,195.93,,,,,,,7.65,9,68.85,,,,,,,7.65,9,68.85,,,,,,,,,,4.2,8,33.6,,,,,,,0.599655,406,243.46,-149.98,-21.425714,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B08ZGRW84Y,B08ZGRW84Y,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
3.23,4.416217112,"Meowijuana Get Baked Bundle | Get Baked Cookie Refillable Toy, King Size Catnip Joints, and Kalico | Hand Harvested and Rolled Dried High Potency Catnip | Grown in North America",1,Cat Toys,Plushes,64.87513155,0.7859841477,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B0BV884FDV,B08ZGZDYFG,,,CAD,34.99,4,0,4,139.96,139.96,,,,,,,7.84,4,31.36,,,,,,,7.84,4,31.36,,,,,,,,,,5.25,4,21,,,,,,,0.6325,8,5.06,82.54,20.635,,,,,,,,,,,,,,,
,0,,,,,0,,SmarterPaw LLC dba Meowijuana,CA,2026-W01,CA,1/4/2026,1/10/2026,B08ZH4QY67,B08ZH4QY67,,,CAD,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
