COGS,COGS Local,Item Name,Bundle,Category,Sub-category,Contribution,Contribution %,Brand,Region,Reporting Week,Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales,AWD Transportation Fee per unit,AWD Transportation Fee quantity,AWD Transportation Fee total,AWD outbound processing fee per unit,AWD outbound processing fee quantity,AWD outbound processing fee total,Base fulfillment fee per unit,Base fulfillment fee quantity,Base fulfillment fee total,Base monthly storage fee per unit,Base monthly storage fee quantity,Base monthly storage fee total,FBA Inventory Reimbursement per unit,FBA Inventory Reimbursement quantity,FBA Inventory Reimbursement total,FBA fulfillment fees per unit,FBA fulfillment fees quantity,FBA fulfillment fees total,Low-inventory-level fee per unit,Low-inventory-level fee quantity,Low-inventory-level fee total,Monthly inventory storage fee per unit,Monthly inventory storage fee quantity,Monthly inventory storage fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Refund administration fee per unit,Refund administration fee quantity,Refund administration fee total,Storage utilization surcharge per unit,Storage utilization surcharge quantity,Storage utilization surcharge total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Net proceeds total,Net proceeds per net unit sold,AWD Storage Fee per unit,AWD Storage Fee quantity,AWD Storage Fee total,FBA removal order fee per unit,FBA removal order fee quantity,FBA removal order fee total,Inbound Transportation Fee per unit,Inbound Transportation Fee quantity,Inbound Transportation Fee total,FBA inbound placement service fee per unit,FBA inbound placement service fee quantity,FBA inbound placement service fee total,Aged inventory surcharge per unit,Aged inventory surcharge quantity,Aged inventory surcharge total
1.14,1.558664863,KITTY KA-ZOOM Valerian Root Roar - Catnip & Valerian Root Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Blends,PIll Bottles,-87.68977556,-4.415819014,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0GL76L7Q1,B0CZ2VWSD3,,,CAD,6.896944,72,3,69,496.58,475.88,,,,,,,5.809714,70,406.68,0.091071,84.68,7.7119,,,,5.809714,70,406.68,,,,0.091071,84.68,7.7119,-0.35,3,-1.05,0.35,72,25.2,0.07,3,0.21,0,8.82,0,1.328462,13,17.27,19.8581,0.287799,,,,,,,,,,,,,,,
1.54,2.105564815,KITTY KA-ZOOM Catnip Bubbles - 5oz. Bottle with Built-in Wand | High Potency Catnip Bubbles Made from Steam-Distilled Natural Plants | Hand Harvest Grown in Canada and The USA,0,Oils,Bubbles,-40.95187413,-0.1613376113,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0CZ7KB218,B0CZ7KB218,,,CAD,8.455105,143,3,140,1209.08,1187.7,,,,,,,5.656127,142,803.17,0.032968,100.79,3.3228,,,,5.656127,142,803.17,,,,0.032968,100.79,3.3228,-0.396667,3,-1.19,0.422098,143,60.36,0.08,3,0.24,0,9.56,0,1.120833,60,67.25,253.8272,1.813051,,,,,,,,,,,,,,,
0.95,1.298887386,"KITTY KA-ZOOM Crunchy Natural Chicken with Catnip Treats for Cats, 2.75 OZ | Low Calorie Carefully Crafted Treats for Indoor and Outdoor Felines | Hand Harvested Catnip",0,Cat Treats,Crunchy,-4.917,-1,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0GL4LFXKW,B0D4312MXF,,,CAD,0,0,0,0,0,0,,,,,,,,,,0.037468,95.2,3.567,,,,,,,,,,0.037468,95.2,3.567,,,,,,,,,,0,70.44,0,1.35,1,1.35,-4.917,,,,,,,,,,,,,,,,
0.95,1.298887386,"KITTY KA-ZOOM Crunchy Natural Seafood with Catnip Treats for Cats, 2.75 OZ | Low Calorie Carefully Crafted Treats for Indoor and Outdoor Felines | Hand Harvested Catnip",0,Cat Treats,Crunchy,-127.5849477,-1.255668375,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0GL4LFXKW,B0D4379H26,,,CAD,6.89,20,0,20,137.8,137.8,,,,,,,5.69,20,113.8,0.036171,72.08,2.6072,,,,5.69,20,113.8,,,,0.036171,72.08,2.6072,,,,0.35,20,7,,,,0,47.33,0,1.364706,85,116,-101.6072,-5.08036,,,,,,,,,,,,,,,
2.78,3.800954666,KITTY KA-ZOOM Shark Toy and Seafood Treat Bundle for Cats | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play | Low Calorie Carefully Crafted Treats,1,Cat Toys,Plushes,-37.746728,-2.52638565,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0GL4FCBY5,B0DHWG175S,,,CAD,15.338333,6,0,6,92.03,92.03,,,,,,,8.17,6,49.02,0.211765,91.71,19.421,,,,8.17,6,49.02,,,,0.211765,91.71,19.421,,,,0.765,6,4.59,,,,0,66.97,0,1.257037,27,33.94,-14.941,-2.490167,,,,,,,,,,,,,,,
2.18,2.980604738,KITTY KA-ZOOM Snake Toy and Chicken Treat Bundle for Cats | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play | Low Calorie Carefully Crafted Treats,1,Cat Toys,Plushes,-14.45540474,-1.259752217,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0GL4FCBY5,B0DHWGQYSC,,,CAD,15.69,1,0,1,15.69,15.69,,,,,,,7.84,1,7.84,0.180907,102.51,18.5448,,,,7.84,1,7.84,,,,0.180907,102.51,18.5448,,,,0.78,1,0.78,,,,0,75.71,0,,,,-11.4748,-11.4748,,,,,,,,,,,,,,,
1.84,2.515739779,KITTY KA-ZOOM Jellyfish Toy and Seafood Treat Bundle for Cats | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play | Low Calorie Carefully Crafted Treats,1,Cat Toys,Plushes,-259.7921354,-1.255267332,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0GL4FCBY5,B0DHWJSYZN,,,CAD,15.448095,21,0,21,324.41,324.41,,,,,,,7.65,20,153,0.17491,106.75,18.6716,,,,7.65,20,153,,,,0.17491,106.75,18.6716,,,,0.76,21,15.96,,,,0,42.74,0,1.444286,238,343.74,-206.9616,-9.855314,,,,,,,,,,,,,,,
1.53,1.53,KITTY KA-ZOOM ZOOMIE Jelly Fish - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play,0,Cat Toys,Plushes,155.2117,0.3709899594,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0DTMFWSGT,B0CYJWPGC7,,,USD,6.692686,175,3,172,1171.22,1153.25,,,,,,,3.46288,125,432.86,0.082631,59.37,4.9058,-0.785,4,-3.14,3.46288,125,432.86,,,,0.082631,59.37,4.9058,-0.9,3,-2.7,1.017442,172,175,0.18,3,0.54,0,2.93,0,,,,418.3717,2.432394,,,,,,,0.395834,196,77.5834,0.2,240,48,,,
2.02,2.02,KITTY KA-ZOOM ZOOMIE Snake Kicker - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh | Soft Plush for Engaging Play,0,Cat Toys,Plushes,-233.5798,-0.7954626104,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0DTMFWSGT,B0CYJX7L6M,,,USD,7.101493,268,7,261,1903.2,1861.26,0.041131,168,6.91,0.05625,168,9.45,4.016579,266,1068.41,0.144716,326.3,47.2208,-1.69,4,-6.76,4.029737,266,1071.91,0.7,5,3.5,0.144716,326.3,47.2208,-1.05,6,-6.3,1.051418,268,281.78,0.21,6,1.26,0,60.3,0,,,,293.6402,1.125058,0.00055,8544,4.7,1.04,1,1.04,0.512458,264,135.289,0.22,96,21.12,,,
1.54,1.54,KITTY KA-ZOOM ZOOMIE Shark Kicker - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh | Soft Plush for Engaging Play,0,Cat Toys,Plushes,-980.5345,-2.451615121,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0DTMFWSGT,B0CYJY8DJN,,,USD,6.447617,386,9,377,2488.78,2436.84,,,,,,,3.212418,306,983,0.059667,114.08,6.8068,-0.41,4,-1.64,3.290065,306,1006.76,0.36,66,23.76,0.059667,114.08,6.8068,-0.96,7,-6.72,0.948204,373,353.68,0.191429,7,1.34,0,9.34,0,0.696913,1730,1205.66,-399.9545,-1.060887,,,,,,,0.284562,480,136.5898,0.167266,768,128.46,,,
